TIPLOC,Geography Description
DIDCWCE,Ce Tip (West Yard)
WARHUS,Wareham Up Sidings
DORESJ,Dore South Jn
CUPARDS,Cupar Down Siding
BRKTNL,Birkett Tunnel
PTLBTAR,Port Talbot Grange Sdgs Tarmac
NEVLHUS,Neville Hill Up Sdgs
COVNNY,Recp
WKFLPSD,Wakefield Prison Sidings
BRIDYCW,Bridgeton Yard C & W
CORBHSB,Harringworth Signal Box
LMTNTWN,Lymington Town
COVNPKJ,Coventry Park Jn
WKFLDWG,Wakefield Westgate
WKFLDWC,Freight Depot Specific Users
STARBCK,Starbeck
HNSLTE,Hunslet East Leeds
NEVLTMD,Neville Hill Trs
COVNCOL,Coventry Prologis Park
WKFLWSJ,Wakefield Westgate Sth Jn
COVNTRY,Coventry
THREESJ,Three Spires Junction
LMTNPIR,Lymington Pier
WATSTND,Whatstandwell
LYNDHRD,Ashurst New Forest
SUNH,Sunnyhill
JARROWS,Shell
NEVLEJN,Neville Hill East-Railtrack
WKFLDWJ,Wakefield West Jn
WKFLDCC,Wakefld Whithams Sdgs (Metals)
WKFLDEJ,Wakefield East Jn
WKFLDKG,Wakefield Kirkgate
MOIRAWJ,Moira Frt
KNRSBGH,Knaresborough
TOTLYTE,Totley Tunnel East
SABR,Sandal & Agbrigg
CLDBDGJ,Calder Bridge Jn
DUFIELD,Duffield
BROHLME,Broadholme
DINSDAL,Dinsdale
BNSLY,Barnsley
BRWHINS,Brockley Whins
BELPER,Belper
TRNRSLA,Turners Lane Jn
BLIEURD,Beaulieu Road
AMBERGT,Ambergate
CHBURY,Charlbury
SHEFS81,Sheffield Signal S81
LCHW171,Lochwinnoch Sig Pe171
AMBERGJ,Ambergate Junction
NWALSSG,North Walsham Stone Sdgs
SINFINN,Sinfin North
SINFINS,Rolls Royce (Sinfin)
MELBRNJ,Melbourne Junction
OKNSHWJ,Oakenshaw Jn
HAWKSLA,Hawkesbury Lane
CHPLTWN,Chapeltown
DRBYLNW,L & N W Jn
ANDOVER,Andover
HAWKLUL,Up Loop
PEARTRE,Peartree
DRONFLD,Dronfield
OKNSHSJ,Oakenshaw South Jn
WLSDNFS,Ce Siding (F Sdg)
ROMS882,Signal E882
ROMS883,Signal E883
ROMSEY,Romsey
SINFINC,Sinfin Central
SHEFFLD,Sheffield
SHEFFHS,Sheffield H.S.
CRFTNWJ,Crofton West Jn
NLRTNCH,Castle Hills
DRBYSMJ,Derby St Marys Junction
DRBYWW,Way And Works Sidings
DRBYSNJ,Station North Jn
LTLETNJ,Little Eaton Junction
CRFTNEJ,Crofton East Jn
BEDWRTH,Bedworth
DRBYEL,Derby St Andrews Economac
DRBY,Derby
BREADSL,Breadsall
BEDWGF,Ground Frame
BDWTHMS,Murco Petroleum
NLRTNUS,Northallerton Up Sdgs
TOTTYD,Totton Yard
TOTTON,Totton
LTLETNX,Little Eaton Crossing
NNRYMLJ,Nunnery Main Line Jn
CSGT,Cross Gates Yorks
NLRTN,Northallerton
NNTN,Nuneaton Trent Valley
NNTNSHJ,Nuneaton South Junction
BOROBDR,Boroughbridge Road Sb
NNTNCVE,Nuneaton T.V  Ce
FINSTCK,Finstock
DRBYRTC,Brb Headquarters Derby
ATTRMGS,Marple & Gillott
LNGLNDJ,Longlands Jn
ECLSFLW,Ecclesfield West S.B.
CHES139,Cheshunt Jn Sig L1395
WDLESFD,Woodlesford
FENYMOD,Fenny Compton M.O.D.
KINETON,Kineton
DRBYCHS,Chaddesden Rs
EBOLDON,East Boldon
REDBDGE,Redbridge Hants
TSDARPR,Tees-Side Airport
MLTBLFL,Maltby Down Loop
WEMBLMD,Wembley Lmd
CHALLOW,Challow
MILLRJ,Mill Race Junction
HAREPKJ,Hare Park Junction
TOWRFHH,Tower Colliery Fhh
WHTMGRP,Whitemoor Repair Pt Gbrf
WDBRNJN,Woodburn Jn
REDBDBS,Redbridge Sdgs Dbc
DRBYEPS,Etches Park T&Rsmd (Carr Eng)
DRBYHS,Lhs
NORMNTN,Normanton
ELSC,Elsecar
SOTOMCT,Freightliners (Maritime Terml)
SOTO740,Signal E740
BTSDSJN,Brightside Station Junction
DENBYOT,Britcoal Denby Opencast
CHFD,Chesterfield
WOMBWEL,Wombwell
ALTFTJN,Altofts Jn
ATLBRJN,Attleborough South Jn
WNCOJN,Wincobank Sheffield
MBRK758,Signal E758
MEADWHL,Meadowhall
MBRK958,Millbrook Sig E958
DARNALL,Darnall
BRGLJN,Broughton Lane Jn
SNDRMSB,Monkwearmouth S.B.
SEABURN,Seaburn
NORMPW,Port Wakefield
MILTJN,Milton Junction
SHPCLPS,Bsc Space (Shepcote Lane)
SHPCTLJ,Shepcote Lane Jn
TINSLSJ,Tinsley South Jn
TINSLEJ,Tinsley East Jn
TINSLYY,Tinsley Yard
STHS,Streethouse
METHLYJ,Methley Jn
SNDRMS,Sunderland Middle Sidings
SNDRBDS,Sunderland Burdon Dock Sidings
SNDRLND,Sunderland
SPDN,Spondon
MBRKFLT,Southampton Millbrook F/Lnr.Tl
MBRKDX,Millbrook Dock Exit
MBRKDE,Millbrook Dock Entrance
ALDWNWS,Aldwarke U.E.S.
MBRK,Millbrook (Hampshire)
MBRK850,Signal E850
SPDNC,Courtaulds Acetates
CLAYXSJ,South Junction
BRHLRS,Barrow Hill
BRHLSJN,Barrow Hill South Jn.
BRHLLIP,Barrow Hill Loco
CLAYXNJ,North Junction
HEMSWTH,Hemsworth Loop
SOTOUGL,Up Goods Loop
ALDWRS,Aldwarke Repair Sidings
ALDWRML,Bsc 11 Inch Mill
GARFRTH,Garforth
SOTODGL,Southampton Down Goods Lp
WHWDJN,Whitwood Jn
SOTDWD,Southampton Western Docks
THIRSK,Thirsk
HNDNSDG,Br Hendon No1 Siding
WANTRD,Wantage Road
RYHPGRN,Ryhope Grange
MCHWOOD,Marchwood Br
SOTON,Southampton Central
SOTONSF,Station Forecourt
SOTONB,Down Bay
SOTONBS,Down Bay Siding
ALLENSW,Allens West
FITZWLM,Fitzwilliam
ROTHHJN,Rotherham Holmes Lane(Closed)
EGRFRTH,East Garforth
YAAM,Yarm
MBROSSJ,Masborough S.S. Jn.
COMBE,Combe
MBROBPS,Booth Cf
MBROSTY,Masboro Station Yard
MBRONJN,Masborough Jn
MRTO,Morton
BRHLJN,Barrow Hill Jn
EGLSCDL,Eaglescliffe Down Loop
EGLSCLF,Eaglescliffe
SEAHAM,Seaham
ALFRETN,Alfreton
MCHWMOD,Mod (Army) Ps
LOCKLAX,Lock Lane Crossing
FTHRSTN,Featherstone
PICTON,Picton
ROTHCEN,Rotherham Central
NORTONW,Norton West
SOTDED,Southampton Eastern Docks
SOTNHVP,Southampton Hoverport
NTHMJN,Northam Junction
NTHMUY,Southampton Bevois Park Siding
HINCKLY,Hinckley
FOXLOWJ,Foxlow Jn
CASTLFD,Castleford Central
SOTONDG,Southampton Dock Gates
NTHM842,Northam Yard Signal E842
FENNYCM,Fenny Compton
WDHOUSE,Woodhouse
TREETNJ,Treeton Junction
HLLNJN,Hall Lane Jn
NORTONS,Norton South
SOTONDY,Down Yard
STDENYS,St Denys
NORTONE,Norton East Jn
STOCCJN,Stockton Cut Junction
LOUNJN,Lounge Jn
COALJN,Coalville Jn
HANDBRO,Hanborough
WDHOUSJ,Woodhouse Jn
HRTBJN,Hartburn
SWYTHLN,Swaythling
BITERNE,Bitterne
WOLSTON,Woolston
BRINKLW,Brinklow
BOWSFLD,Bowesfield
MNTLLAS,Mantle Lane
CDNRPSS,Codnor Park
CDNRT92,Codnor Pk Jn Sig Tt92
PYEBDGJ,Pye Bridge
PYEBT88,Pye Bridge Jn.Sig.Tt88
PYEBT89,Pye Bridge Jn.Sig.Tt89
PYEBT83,Pye Bridge Jn.Sig.Tt83
STOCTMS,Thompson Tj Millfield Works
STOCTON,Stockton
BARDONH,Bardon Hill
SEYMORJ,Seymour Yard
DRCHFHH,Dorchester South Flhh
BSTETAR,Bury St Edmunds Fd Tarmac
CDNRPKJ,Park Junction
MCKLFLD,Micklefield
CATTAL,Cattal
CDONEDC,Castle Donington Emdc
SOTPKWY,Southampton Airport (Parkway)
SHOLING,Sholing
BARDNHQ,Bardon Hill Quarries
BEGHTJN,Beighton Jn
BEGHTSJ,Beighton Station Jn
HORD148,Horden Signal Ns7148
HORD137,Horden Signal Ns7137
PTFTTSF,Pontefract Tanshelf
BAGWTHJ,Britcoal Bagworth Colliery
LGML,Langley Mill
SKIRBYJ,South Kirkby Jn
TEESYHS,Tees Yard Holding Sidings
TABYTMD,Tmd
TABYEJN,Thornaby East
TABY,Thornaby
ELGHDCS,Down Carriage Shed
GLDTHRP,Goldthorpe
BLTNODR,Bolton-On-Dearne
ELGH862,Eastleigh Signal E862
ELGHMY,Eastleigh Marshalling Yard
ELGHSJN,South Junction
ELGHTMD,Eastleigh Business Travel
ELGH97,Signal 97
ELGHEJN,East Junction
ELGH230,Eastleigh Signal E230
ELGH222,Signal E222
ELGH,Eastleigh
ELGH81,Signal E81
HKLTNSB,Br Hickleton Main Sidings
SLEIESB,Sleights Signalbox
THBGJN,Thrybergh Jn
TRNO,Thurnscoe
MORTHGL,Moorthorpe Goods Loop
PTFTMHL,Pontefract Monkhill
BLNGHMJ,Billingham Jn
KLNHUGL,Kilnhurst Up Goods Loop
SWINTN,Swinton
MORTHRP,Moorthorpe
MORTHSJ,Moorthorpe South Jn
PTFTBHL,Pontefract Baghill
ELGHBRM,Brml Hq
BNBRYRA,Banbury Reservoir <Redland>
BNBRYNB,North Signal Box
BNBR,Banbury
BNBRYD,Banbury Dgl Dbc
BNBRJN,Site Of Former Banbury Jct
WHTCHRH,Whitchurch (Hampshire)
NETLEY,Netley
TEESY,Tees Marshalling Yard
CMTRYNH,Br Cemetery North Jn
TABYNO1,Thornaby No 1
BLNGHM,Billingham On Tees
PINXTON,Pinxton R S
OXCRFCL,Ncb Oxcroft Disposal Point
ELGHABK,Allbrook
OXCRFJN,Oxcroft Junction
HAMERTN,Hammerton
SHAWFD,Shawford
NEWBURY,Newbury
BAGWJRS,Bagworth Jn Refuge Sdgs
SHAWFDJ,Shawford Jn
HMBLE,Hamble
MEXBRGH,Mexborough
SELMSAL,South Elmsall
ELGHPAD,Eastleigh Depot
ELGHHS,Eastleigh Hs
ELGHENY,East Yard
STAPLCE,Ce Siding
GREATHM,Greatham
WNCHSTR,Winchester
HVRTBSB,Belasis Lane
HVRTHEG,Ici Chemicals & Polymers Group
TRWLJN,Trowell Junction
FERYBPS,Powergen
FERYBDG,Ferrybridge North Junction
LNGEATN,Long Eaton
FERYHS,Ferrybridge
FERYRD,National Power Repair Depot
FERYLD,Loco Maint Depot  Nat'L Power
NEWBRYR,Newbury Racecourse
TACKLEY,Tackley
STNTNGU,Rs (Up Sidings)
BNTNKCL,Britcoal Bentinck Colliery
KNTNGWJ,Knottingley West Jn
TOTODHS,L H S (Tmd)
TOTODSL,Ny (Down Sidings Ll)
TOTONC,Ny (Centre Sidings)
HEYFORD,Heyford
WVCTJN,Wolvercot Jn
BARDHBR,Bardon Hill Rs
STAPLFD,Stapleford & Sandiacre
BURSLDN,Bursledon
KVTNBDG,Kiveton Bridge
KNTNGLY,Knottingley
KNTNGJK,Rockware Glass Ltd(Jackson Br)
KNTN402,Knottingley Sig K402
KNTNGEJ,Knottingley East Jn
KNTNELL,England Lane Level Crossing
MDLSDS,Middlesbrough Sidings
SHEETSJ,Sheet Stores Jn
TOTONJ,Toton Jn
ELGHAGG,Foster Yeoman
KRKYLEJ,Kirkby Lane End Jn
CLIFHSQ,Cliffe Hill Stud Farm Quarry
TOTONNB,Ny (New Bank)
HEDGEND,Hedge End
KINSSTN,Kings Sutton
SMILFD,South Milford
LNGETNX,Long Eaton Town X-Ing
DIDCTDC,Lansdown International
DIDC940,Didcot Signal Sn940
AYNHOJ,Aynho (Closed)
KNTNWRD,Knottingley Rst'S
KNTNLIP,Lip
KNTNYFD,Knottingley Depot
KNTNGSJ,Knottingley South Jn
TRENT,Trent East Jn
MDLSBRO,Middlesbrough
MDLSMRB,Middlesbrough Marsh Branch
MDLSFD,Middlesbrough Goods Yard
TOTOTMD,Tmd (Traction Engineering)
RATCPS,Ratcliffe On Soar Power Stn
TRENTJ,Trent Junction
LINDLA,Lindleys Lane
OXFDBRS,Oxford Banbury Road
RATCLFJ,Ratcliffe Junction
MEDLALC,Meadow Lane Level X
OXFDBGF,Oxford Banbury Road G.F.
WALRSAL,Wallers Ash Loop
MEADLAJ,Meadow Lane Junction
OXFDNNJ,Oxford New North Jn
TRENTL,Down Trent Loop
GUSBROJ,Guisborough Jn
OXFDCSD,Oxford Carriage Clng Siding
OXFDUCS,Oxford Up Cs
ATNBROJ,Attenborough Junction
MILFLOP,Milford Loop
MILFDY,Milford Down Sidings
MILFDWS,Br Milford West Sidings
MILFCDS,Milford Down Sidings
OXFD,Oxford
SHBNSJN,Sherburn South Jn
SHBN,Sherburn-In-Elmet
HINKN,Hinksey North
KVTNPK,Kiveton Park
DNNGCLJ,Dinnington Colliery Jn
JAMCOK,James Cook
KRKYCEN,Kirkby In Ashfield
CONBRGH,Conisbrough
CHFN,Church Fenton
WHTEHSJ,Whitehouse Jn.
CLIFHLS,Tarmac (Cliffe Hill)
RUGBYCS,Engineering Students
RUGBY,Rugby
RUGBYY,Tc
HRTLPSW,Bsc South Works
CRHRTLP,Clarence Road
HRTLEPL,Hartlepool
HINKSEY,Br Hinksey Yard
SETNSJN,Seaton Snook Jn
HINKSYS,Hinksey South
BOTLYFY,Foster Yeoman
GSCGNWJ,Gascoigne Wood Jn
GSCGDL,Ncb Down Construction Site
GWSYBKR,Gascoigne Wood Up Mine Sidings
SETNCRW,Seaton Carew
CLFHJN,Cliffe House
FOXHALJ,Foxhall Jn
SWNWICK,Swanwick
MCHLDVR,Micheldever
OVTN,Overton
CROFTS,Croft
CROFTQY,English China Clay (Quarry)
ATNBRO,Attenborough
ULESKLF,Ulleskelf
MARTON,Marton
KNNGTNJ,Kennington Jn Points Heaters
DIDCWCJ,Didcot West Curve Jn
NWSTEAD,Newstead
BRITFEE,Briton Ferry East
DIDCWE,Didcot West End
GRNGBPH,Grangemouth Bp Holding Sidings
DALWCE,Dalwhinnie Siding
DEANCE,Dean Engineers
BLYBLLC,Leigh Level Crossing
DIDCTNJ,Didcot North Jn
DIDCGWS,Great Western Society
DIDCTFP,Didcot Fuelling Point
WALSBLI,Midland Yard W H S
APPLEFS,Arc
APPLEFD,Appleford
APPLEFX,Appleford Xng Signalling
DIDCTTC,Didcot Yard
KNTNGFD,Knottingley Freight Depot
KNTNSDG,Knottingley Sidings
ISLIP,Islip
RDLEY,Radley
DIDCOTP,Didcot Parkway
ASCODS,Ascot Down Siding
BULWELL,Bulwell
MCHLELF,Elf
THATCHM,Thatcham
DIDCTPS,National Power Ews
SHRBROK,Shirebrook (Derbys)
SHRBWJ,Shirebrook Junction
SHRBREJ,Shirebrook East Jn
BESTNSJ,South Junction
CULHAM,Culham
DIDCTEJ,Didcot East Jn
STTNPWY,Sutton (In Ashfield) Parkway
GYPSYLA,Gypsy Lane
CARLYDR,Carlisle Yard
BESTON,Beeston
STHBANK,South Bank
STHBNKJ,South Bank Jn.
ABTH231,Aberthaw Aw231
DONC105,Doncaster Signal D105
ADWICKJ,Adwick Jn
BESTNCS,Blue Circle
SEALSMS,Seal Sands (Simon Storage)
SEALSND,Seal Sands
SETNCEG,Cegb Seaton Snook
MASGLAS,Newport Maesglas
ADWICK,Adwick
BEGHFHH,Westthorpe Sdgs (Fhh)
FELTGS,Feltham Area Engineering Works
STCALC,Stoke Canon Lc
KIBWRTH,Kibworth
WYMNFHH,Wymondham Fhh
WREXROS,Rossett Lc
SWAVIA,Swan Side Viaduct
LOGHBNJ,North Junction
NUNTHRP,Nunthorpe
WARSOPJ,Warsop Jn
WARSPUS,Warsop Up Sidings
BRCLEJN,Brancliffe East Jn
HUCKNAL,Hucknall
PROWLCL,Ncb Prince Of Wales Colliery
PRTCICI,Ici Petrochemicals (Wgn Rep)
PRTCLRN,Port Clarence
PRTCLRP,Phillips Petroleum
LOGHBSH,Brush Hawker Siddeley
MFLDTWN,Mansfield
LITTLEM,Littlemore
NARBRO,Narborough
CRCRFTJ,Carcroft
DONC106,Doncaster Signal D106
KELNGLY,Ncb Kellingley Colliery
BESTNMC,Mcintyre J
LOGHARC,Amey Roadstone
LOGHBRO,Loughborough
SDFRTLA,Sudforth Lane
BESTONS,Rs
ROMS995,Romsey Signal E995
BSTWDPJ,Bestwood Park Junction
HAMBLWJ,Hambleton West Jn.
SKELTNB,Skelton Bridge
RADF216,Radford Sig Ms4216
RADF217,Radford Sig Ms4217
RADFDJ,Radford Junction
BESTNNJ,North Junction
DONCHJN,Hexthorpe Jn
PTFTMGJ,Pontefract Monkhill Goods Jn
COLTONJ,Colton Jn
REDCROT,Bsc Iron Ore Terminal
SEALSBA,Basf (Seal Sands)
BEAMMLJ,Beam Mill Jn.
MFLDWSE,Mansfield Woodhouse
BASFORD,Basford
GRTN,Grangetown (Cleveland)
SHRKSKS,Shireoaks
LACKNBY,South Bank Lackenby (Metals)
MRTNCUT,Moreton Cutting
WHTBDGE,Whitley Bridge
HAMBLNJ,Hambleton North Jn
LYNMFHH,Lynemouth Power Station (Flhh)
CHMSRPG,Dalmellington-Ayrshire Rlwy Pv
RADF210,Radford Sig Ms4210
RADF208,Radford Sig Ms4208
LENTNSJ,Lenton South Junction
LENTNNJ,Lenton North Junction
ATTRFHH,Attercliffe Sidings
DLTNCBE,Cleveland Bridge & Eng
TOLERTN,Ace Tollerton
POPLTON,Poppleton
REDCRMT,Bsc New Mineral Terminal
HAMBLSJ,Hambleton South Jn.
REDCROJ,Ore Terminal Junction
HAMBLEJ,Hambleton East Junction
NTNGMJN,Mansfield Junction
WODENDJ,Woodend Jn
DONCSJJ,St.James Jn.
BTLYSY,Bentley (S. Yorks)
WLNGDGL,Wellingbro Down Goods Loop
LEEDFHH,Leeds Balm Rd Loco (Fhh)
DONCPCJ,Potteric Carr
FAREARC,Amey Roadstone
MORRMAT,Morris Cowley M.A.T.
MORRISC,Morris Cowley
DONCWY,Doncaster West Yard
FAREHAM,Fareham
DONCBRE,Brml Doncaster
DONCWLS,Doncaster Works Loco Shops
DONCWL2,Doncaster Works Loco No2
DONCWWS,Doncaster Works Wagon Shops
SHRKSEJ,Shireoaks East Jn
DONCWCS,Doncaster Works Carriage Shops
WLTNFLT,Wilton F.L.T.
DONCBJN,Bridge Jn
DONC276,Doncaster Sig D276
DONC,Doncaster
BTLYJN,Bentley Jn
MIDGHAM,Midgham
WEALCE,Ce Siding
REDCBSC,Redcar British Steel
IMNGHQY,Immingham Henderson Quay
WLBCCLJ,Welbeck Colliery Jn
DONCBDR,Belmont Down Reception
DONCBDY,Belmont Down Yard
EGBROPS,Cegb Eggborough
WLTNICI,Ici Wilton Works
GTAYTON,Great Ayton
CROFGBR,Croft Quarry Gbrf
AVONRCK,Avonmouth Rockingham Road
NTNG,Nottingham
DAUNTSY,Dauntsey
CLOBURN,Closeburn
WKFLKST,S&Te
ABRYRRL,Aberystwyth Run Round Loop
ARKSEYL,Arksey Loop
CCARCE,Castle Cary Sidings-Isu(Ce)
SKELTON,Ace Skelton Ouse Acres
MBROFHH,Rotherham Masborough (Flhh)
FRBCKJ,Firbeck Jn.A.
SILEBYJ,Sileby Junction
DONC866,Doncaster Sig D866
SHANKLN,Shanklin
WLBCKCL,Ncb Welbeck Colliery
DONCEP,Doncaster Europort
DONC269,Doncaster Signal D269
DONCSTS,Doncaster Station Sidings
SHFTHLJ,Shaftholme Jn
GIDBFHH,Guide Brge Virtual Quarry Fhh
LESTSGF,Saffron Lane Ground Frame
DONC254,Doncaster Sig D254
DONC249,Doncaster Sig D249
DONCSWY,Doncaster Sig D1490
JNCROFT,Joan Croft Jn
BCSTCOD,Mod (Army-Cod)
BCSTGF,Mod (Army-Cod) Gf
CHOLSEY,Cholsey
COTAGBF,Cottam Power Station
WORKLIP,L.H.Siding
WORKSPS,Worksop Down Reception
WORKMGR,Worksop Mgr Depot
WORKWRD,Wrd
WORKSOP,Worksop
WORKSPE,Worksop East
BCSTN,Bicester
HENSALL,Hensall
BCSTRTN,Bicester Village
BCSTLRD,Bicester London Road L/Xing
WGSTGPJ,Glen Parva Junction
DONCDNJ,Decoy North Jn
APLHRSJ,Applehurst Jn
WRTINGJ,Worting Junction
WGSTS,South Wigston
TMSHTMC,Thorpe Marsh Tarmac
LESTKJN,Knighton Junction
BTRSBY,Battersby
LAKEIOW,Lake (I.O.W.)
DONCRMT,Doncaster Royal Mail Terminal
WSTBLAF,Westbury Lafarge Fhh
MOUNTSS,Redland Aggregates
YORKEY,Xx Tline Stores York
YORKCRW,Brml Hq
RYDP,Ryde Pier Head
SNDOWN,Sandown
WGSTNNJ,North Junction
LEST426,Signal 426
LEST421,Signal 421
LESTER,Leicester
YORKHLG,York Loop (Holgate)
YORKLIP,York Fuelling Point
YORKNRM,National Railway Museum Doe
RYDE,Ryde Esplanade
LESTRSJ,South Junction
LESTRNJ,North Junction
LESTLIP,Leicester L.I.P.
DONCDDY,Doncaster Down Decoy
DONCLIP,Lip
DONCDCE,Doncaster Ntr
YORKURS,York Yard South Sidings
YORKYS,York Yard South
YORKYN,York Yard North
YORKWRD,York Wagon Maintenance
CLIPCJN,Clipstone Colliery Jcn
WGSTNSJ,South Junction
DONCPWD,Doncaster P Way Depot
DONCWDY,Ce Siding (Doncaster Wood Yd)
DONCUDY,Doncaster Up Decoy
DONCSCJ,St.Catherines Jn.
LESTBRG,Leicester Braunstone Gate
RYDSEMU,Ryde Drivers
RYDS,Ryde St.John'S Road
RUFDBC,Ncb Rufford Colliery
LWELRSJ,Low Ellers Jn
YORK,York
RUFDJN,Rufford Junction
RUFDSS,Ncb Rufford Col Stockg No1
SMALBRK,Smallbrook Junction
CLIPSBC,Ncb Clipstone Colliery
TMSH723,Thorpe Marsh Signal D723
SILEBY,Sileby
ALDMSPS,Br Padworth Siding
ALDMSTN,Aldermaston
REDCARC,Redcar Central
GORASTR,Goring & Streatley
RSNGTCL,Ncb Rossington Colliery
TEMPLHJ,Temple Hirst Jn.
CLVTBC,Britcoal Calverton Colliery
KLBYBDG,Kilby Bridge Junction
LESTHR,Humberstone Road
LESTHR5,Humberstone Rd No5 Top Sdg
CLPSTWJ,Clipstone West Jn
KLDL,Kildale
BAROWOS,Barrow-Upon-Soar
CLPSTSJ,Clipstone South Jn
LESTHRJ,Humberstone Rd Junction
BRDING,Brading
CLPSTEJ,Clipstone East Jn
BESSCRJ,Bessacarr Jn
SELBYWJ,Selby West Jn
RSNGCJN,Rossington Colliery Junction
DONCLCJ,Loversall Carr Jn
SELBMYE,Selby Melmerby Estates
SELBYFD,Selby Freight Depot
SELBUSD,Selby Up Sidings
SELBYCJ,Selby Canal Jn
REDCARE,Redcar East
BRBDNRG,Rockware Glass
NTHRFLJ,Netherfield Junction
PCHESTR,Portchester
KKSNDAL,Kirk Sandall
SELBY,Selby
SYSTNNJ,North Junction
CRTN,Carlton
SYSTON,Syston
NTHRFLD,Netherfield
SYSTNSJ,South Junction
LNGBKBY,Long Buckby
LONGBCK,Longbeck
WEED201,Weedon Sig Kr1201
WEED200,Weedon Sig Kr1200
PANGBRN,Pangbourne
TRFDGBR,Trafford Park Recep Gbrf
SYSTNEJ,East Junction
THEALEM,Murco Petroleum
MRSK,Marske
THEALFY,Foster Yeoman/Beedon Hlge
THEAARC,Arc
RECTRYJ,Rectory Junction
BSNGSBM,Basingstoke Carr Svcg
BSNGSUR,Basingstoke Up Yard
BSNGW34,Basingstoke Signal Be547
BSNGW36,Basingstoke Signal Be549
BSNGSNY,Basingstoke North Yard
THRSCLJ,Thoresby Coll Jn
BSNGSDR,Basingstoke Down Yard
THRSBCL,Ncb Thoresby Colliery
RECTTS,Total Oil(Rectory Jct Colwick)
THEALGL,Theale Loop
PSEA,Portsmouth & Southsea
MTIMER,Mortimer
SNAITH,Snaith
PSEADCS,Portsmouth & S. D.C.S.
THEALE,Theale
BRTJYC,Burton Joyce
BSNGDES,Down East End Siding
RADNOT,Radcliffe (Nottinghamshire)
HTFLASF,Hatfield & Stainforth
FRATTON,Fratton Portsmouth
RANSKLL,Ranskill Loop
BMLY,Bramley (Hants)
SBRNWJN,Saltburn West Jn
COSHAM,Cosham
DRAXBJ,Drax Branch Junction
DRAXCEG,C E G B
FRATDFP,Fratton Depot Fp
FRATNCS,Fratton Carriage Sidings
FRATCSD,Carriage Servicing
FRATTOY,Fratton Old Yard
FRATTMD,Fratton Maintenance
FRATTNY,Fratton Yard
HILSEA,Hilsea Portsmouth
SBRN,Saltburn
FRATTSH,Fratton Staff Halt
COMONDL,Commondale
COSHAMJ,Cosham Junction
PCRKJN,Portcreek Junction
FRATTNE,Fratton East
THORNEJ,Thorne Jn
LOWDHAM,Lowdham
WSHWDLS,Wshwd Hth Loco Srvcng Rd (26)
FRLNGTJ,Farlington Junction
TILHRST,Tilehurst
ASCO501,Ascot Signal F501
LCHTNJ,Lichfield North Jn (Ll)
BOGHTNJ,Boughton Jn
THORNEN,Thorne North
ELGHLWR,Silcock Express
CTNM,Castleton Moor
SDSD356,Sanderstead Signal T1356
CYDNJN,Claydon Junction
RAWCLIF,Rawcliffe
CALVERT,Calvert
THORNES,Thorne South
NWPTFHH,Newport Docks Freightliner Hh
SCOTEJN,Southcote Jn
THRGRTN,Thurgarton
RDNGSLJ,Scours Lane Jn
REDGWJN,Reading West Junction
BABWTHL,Babworth Loop
RDNGORJ,Oxford Road Jn
RTFD,Retford
REDGWST,Reading West
THRMWJN,Thrumpton West Jn
RTFDTHR,Retford Thrumpton
RTFDLL,Retford Low Level
REDGWCV,Reading West Curve
BINGHAM,Bingham
DANBY,Danby
NMPTMLJ,Mill Lane Jn
BDHMPTN,Bedhampton
BLEASBY,Bleasby
WRESSLE,Wressle
NMPTNN4,Northampton No 4
NMPTNCY,Castle Yard
RDNGTMD,Reading T.M.D.
RDNG379,Reading Sig. Tr379
RDNGSTN,Reading
HAVANT,Havant
RDNGNJN,Reading New Jn
ALTON,Alton
HOOK,Hook
ASFRDBY,Asfordby Colliery
RDNG4AB,Reading Platforms 4A&B
RDNGSJN,Reading Spur Jn
WEEDON,Weedon
WRBLNGT,Warblington
NMPTNNJ,North Jn
AMNGTNJ,Amington Jn
HADMATP,Haddenham & Thame Parkway
FISKRTN,Fiskerton
GOOLPGJ,Potters Grange Jcn
RWLNDSC,Rowlands Castle
ROLSTN,Rolleston
HLBNOIL,Holybourne Kelt Exploration
ASLCKTN,Aslockton
MRKTHRB,Market Harborough
PTRSFLD,Petersfield
RDNGKBL,Kennet Bridge Loop
RESOLVN,Resolven
GOOLE,Goole
GOOLUSS,Goole Up Station Siding
GOOLEDK,Goole Docks
CORBRRL,Corby North Run-Round Loop
GOOLES,Goole Yard
NMPT050,Northampton Sig Ry1050
NMPTEMA,Northampton Emu Arrivals
EMSWTH,Emsworth
NMPTCMD,Pad
MLTNMUL,Up Loop
MLTNJN,Melton Jn
HOWDEN,Howden
ERLY,Earley
MLTNSDG,Melton Mowbray
MLTNMPS,Pedigree Petfoods No 1 Sdg
MLTNMDL,Down Loop
WRMNBGF,Beechgrove Ground Frame
CLRBROJ,Clarborough Jn
NMPTNRS,Northampton Riverside Sidings
BOULBYR,Boulby Mine
LEALHLM,Lealholm
WNCFILD,Winchfield
BARN090,Barnes Signal W1090
STAINSE,Staines Sidings Ent-Exit
HNLYOT,Henley-On-Thames
ELGHAFL,Eastleigh Works Alstom
BLOXSB,Bloxwich Signal Box
PHBRBAL,Portsmouth Harbour (Ballast)
WINETGL,Winnersh Triangle
DITTNRS,Ditton Reception Sidings
DITTONY,Recp
SBOURNE,Southbourne
ELTON,Elton & Orston
